activity_id,hcp_id,activity_date,sales_rep_id,channel,topic,duration_minutes,engagement_score,sentiment,sample_dropped,follow_up_requested
ACT0000001,HCP0039,2024-04-09,REP010,In-person,New indication,52,77.7,Positive,False,False
ACT0000002,HCP0014,2025-11-28,REP016,Phone,Dosing discussion,30,69.9,Neutral,False,False
ACT0000003,HCP0118,2025-02-26,REP024,Email,Dosing discussion,1,100.0,Neutral,True,False
ACT0000004,HCP0102,2025-08-21,REP016,Email,Adherence support,5,100.0,Positive,True,False
ACT0000005,HCP0052,2024-10-24,REP015,In-person,Clinical evidence,47,64.4,Negative,False,True
ACT0000006,HCP0045,2025-05-10,REP020,In-person,New indication,30,74.9,Positive,False,True
ACT0000007,HCP0017,2025-03-06,REP018,In-person,Patient access,45,68.5,Neutral,False,False
ACT0000008,HCP0058,2024-07-04,REP004,Phone,Dosing discussion,16,56.7,Positive,True,True
ACT0000009,HCP0018,2024-04-21,REP020,Email,Prior authorization,6,38.7,Positive,False,False
ACT0000010,HCP0018,2025-08-10,REP015,Phone,Prior authorization,9,52.6,Positive,True,True
ACT0000011,HCP0047,2025-02-27,REP006,Video,Adherence support,36,56.9,Neutral,False,False
ACT0000012,HCP0087,2025-07-20,REP006,Phone,Adherence support,31,89.9,Neutral,False,False
ACT0000013,HCP0015,2025-03-04,REP018,Email,Patient access,2,70.3,Neutral,False,False
ACT0000014,HCP0021,2024-05-15,REP020,Conference,Prior authorization,29,54.7,Positive,False,False
ACT0000015,HCP0111,2025-03-05,REP023,Email,Clinical evidence,2,51.3,Neutral,False,False
ACT0000016,HCP0113,2024-01-02,REP007,Email,Patient access,6,74.8,Neutral,False,False
ACT0000017,HCP0068,2024-05-10,REP024,Email,Dosing discussion,6,59.7,Neutral,False,True
ACT0000018,HCP0029,2025-02-27,REP007,Phone,Patient access,49,44.9,Positive,False,True
ACT0000019,HCP0097,2024-10-12,REP003,Video,Dosing discussion,19,47.4,Neutral,False,False
ACT0000020,HCP0019,2025-07-26,REP006,Email,Dosing discussion,3,100.0,Neutral,False,False
ACT0000021,HCP0125,2024-11-27,REP006,Video,Adherence support,45,63.5,Negative,False,False
ACT0000022,HCP0008,2025-05-11,REP002,Phone,New indication,40,88.0,Neutral,False,False
ACT0000023,HCP0051,2025-04-25,REP001,In-person,Dosing discussion,15,30.7,Neutral,False,False
ACT0000024,HCP0046,2024-02-12,REP001,Video,Clinical evidence,38,89.7,Positive,False,False
ACT0000025,HCP0101,2025-11-24,REP010,In-person,Clinical evidence,20,81.6,Positive,True,True
ACT0000026,HCP0125,2024-10-31,REP002,Conference,New indication,31,83.8,Negative,False,True
ACT0000027,HCP0092,2024-02-29,REP008,Video,New indication,46,34.0,Neutral,False,False
ACT0000028,HCP0023,2025-05-02,REP012,Phone,Adherence support,27,66.6,Positive,False,False
ACT0000029,HCP0032,2025-11-24,REP015,Video,Patient access,50,49.6,Negative,False,False
ACT0000030,HCP0001,2025-09-17,REP005,Video,Dosing discussion,34,42.6,Positive,False,False
ACT0000031,HCP0015,2025-09-19,REP007,Phone,New indication,51,28.4,Neutral,False,False
ACT0000032,HCP0030,2024-05-23,REP020,Video,Prior authorization,37,44.5,Positive,False,False
ACT0000033,HCP0002,2024-10-11,REP018,Email,Prior authorization,3,43.0,Positive,False,False
ACT0000034,HCP0031,2025-01-16,REP011,In-person,New indication,21,81.7,Positive,False,False
ACT0000035,HCP0104,2025-02-13,REP024,Phone,Adherence support,14,53.9,Neutral,False,False
ACT0000036,HCP0026,2024-03-11,REP013,Video,Prior authorization,53,62.9,Positive,True,False
ACT0000037,HCP0123,2024-07-11,REP003,Email,Patient access,1,90.0,Positive,True,False
ACT0000038,HCP0029,2024-05-25,REP003,Email,Adherence support,6,67.4,Positive,True,False
ACT0000039,HCP0049,2024-12-28,REP006,Email,Dosing discussion,2,51.7,Neutral,False,False
ACT0000040,HCP0080,2024-06-29,REP008,Email,Prior authorization,5,70.1,Positive,False,False
ACT0000041,HCP0067,2025-08-19,REP005,Phone,New indication,30,50.3,Positive,False,False
ACT0000042,HCP0022,2025-01-02,REP019,Video,Prior authorization,12,30.9,Positive,True,False
ACT0000043,HCP0025,2024-01-06,REP025,Email,Clinical evidence,2,73.5,Positive,False,True
ACT0000044,HCP0032,2025-08-06,REP014,Conference,Dosing discussion,34,79.0,Neutral,False,False
ACT0000045,HCP0098,2025-10-13,REP015,Email,Prior authorization,1,62.1,Neutral,False,True
ACT0000046,HCP0086,2024-08-10,REP023,In-person,Adherence support,38,63.4,Positive,False,False
ACT0000047,HCP0003,2025-01-23,REP008,In-person,New indication,53,57.5,Neutral,False,False
ACT0000048,HCP0033,2024-06-06,REP015,Email,Adherence support,4,96.9,Positive,False,False
ACT0000049,HCP0017,2025-03-24,REP010,Email,Dosing discussion,1,72.0,Positive,False,False
ACT0000050,HCP0094,2025-01-08,REP024,Video,Prior authorization,38,63.4,Positive,False,False
ACT0000051,HCP0118,2024-12-14,REP021,Video,Clinical evidence,26,85.4,Neutral,False,True
ACT0000052,HCP0006,2024-05-13,REP016,Phone,Adherence support,47,87.2,Neutral,False,True
ACT0000053,HCP0039,2024-06-27,REP019,Conference,Clinical evidence,24,74.9,Positive,False,False
ACT0000054,HCP0119,2024-04-12,REP021,Video,Adherence support,49,85.3,Neutral,False,False
ACT0000055,HCP0068,2024-10-03,REP011,In-person,Patient access,33,77.1,Positive,False,True
ACT0000056,HCP0059,2024-01-01,REP014,Phone,Dosing discussion,53,67.0,Neutral,False,False
ACT0000057,HCP0056,2025-01-02,REP008,Email,Patient access,5,85.9,Negative,True,False
ACT0000058,HCP0024,2024-09-16,REP005,In-person,Prior authorization,22,47.3,Negative,False,False
ACT0000059,HCP0023,2024-11-08,REP024,In-person,Dosing discussion,25,46.9,Neutral,True,True
ACT0000060,HCP0049,2025-07-25,REP004,Email,New indication,3,75.9,Positive,False,True
ACT0000061,HCP0089,2025-03-03,REP021,Conference,Clinical evidence,14,52.4,Positive,False,False
ACT0000062,HCP0091,2025-11-30,REP015,Video,Adherence support,20,82.4,Positive,False,False
ACT0000063,HCP0113,2024-01-24,REP001,In-person,Patient access,10,71.0,Positive,False,False
ACT0000064,HCP0073,2024-02-04,REP020,Email,New indication,1,100.0,Positive,False,False
ACT0000065,HCP0071,2025-06-05,REP013,In-person,Patient access,53,46.2,Neutral,True,False
ACT0000066,HCP0039,2025-08-28,REP005,Video,Adherence support,50,84.6,Positive,False,True
ACT0000067,HCP0034,2025-02-04,REP002,Email,Adherence support,5,56.1,Neutral,False,False
ACT0000068,HCP0087,2024-09-26,REP019,In-person,Clinical evidence,41,71.9,Neutral,False,True
ACT0000069,HCP0107,2025-10-29,REP014,Conference,Prior authorization,30,80.6,Positive,False,False
ACT0000070,HCP0102,2024-07-19,REP012,In-person,Prior authorization,22,73.9,Negative,False,False
ACT0000071,HCP0037,2024-12-27,REP024,In-person,New indication,40,76.1,Neutral,False,False
ACT0000072,HCP0063,2025-12-15,REP024,In-person,Adherence support,24,74.4,Positive,False,False
